NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"00004321044";217;168;0;49;15;2;0;13,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0009892002";16;8;0;8;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140370004S";29;28;0;1;5;1;0;20;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0029909503";135;129;0;6;18;2;2;11,11;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140272102S";82;81;0;1;35;2;0;5,71;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140370000";184;174;7;3;53;2;0;3,77;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140370005S";49;49;0;0;15;1;0;6,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200";55;54;0;1;10;9;0;90;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200SK";16;12;0;4;2;1;0;50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350201";301;287;0;14;38;35;0;92,11;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350203";73;68;0;5;16;16;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350203SK";19;18;0;1;5;3;0;60;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350204";71;65;0;6;19;17;1;89,47;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350204SK";27;24;2;1;7;5;0;71,43;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350211";482;451;0;31;89;86;0;96,63;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350211SK";75;70;0;5;21;15;0;71,43;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350213";75;65;0;10;9;9;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350213XK";10;9;0;1;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350214";85;76;0;9;10;10;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350214XK";15;14;0;1;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350300";738;713;0;25;152;141;2;92,76;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350305";987;950;5;32;158;151;0;95,57;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350305XK";184;178;0;6;33;32;0;96,97;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350402";8;7;0;1;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350404";3;3;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351201XK";47;40;0;7;8;8;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351202";270;266;0;4;58;58;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351202XK";69;65;0;4;11;10;0;90,91;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351211SK";59;49;0;10;8;5;0;62,50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351212";231;221;0;10;28;28;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351402";306;295;1;10;68;66;0;97,06;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351402XK";105;100;1;4;11;9;0;81,82;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351404";389;365;0;24;85;81;0;95,29;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351404MEY";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351410";240;222;3;15;30;28;0;93,33;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351600";61;58;0;3;7;7;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351600SK";30;29;0;1;8;6;0;75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351600XK";17;16;0;1;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351700";37;31;0;6;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351700SK";13;12;0;1;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351700XK";5;4;0;1;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141360012";31;29;0;2;3;1;1;33,33;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141371005";200;195;0;5;73;3;0;4,11;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141371007";80;78;0;2;18;4;3;22,22;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141371107";353;345;0;8;101;5;0;4,95;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0143251000";433;424;0;9;97;3;2;3,09;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153000938";2;2;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0152280";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153000371";2;2;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153500006";3;3;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153500067";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153500128";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153500130";4;4;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0153500225";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01J301517D";628;600;0;28;98;4;0;4,08;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019171748";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019171783";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01L321371";58;55;0;3;10;1;0;10;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01L325429B";68;57;0;11;15;8;0;53,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01M325429";529;518;2;9;119;16;0;13,45;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01N321370";96;92;0;4;19;2;0;10,53;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V321371";225;220;0;5;44;1;1;2,27;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V321379";138;129;0;9;6;1;1;16,67;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V325429";508;498;1;9;101;18;8;17,82;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051BS1";6;5;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051";100;88;5;7;12;3;0;25;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051B";396;388;0;8;79;10;2;12,66;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051C";12519;12222;53;244;4014;792;269;19,73;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051D";1312;1294;3;15;451;67;4;14,86;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E398051";2400;2347;10;43;763;155;25;20,31;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E398051KIT";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171783";4;4;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0308834077";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0350502461";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171762";5;5;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171772";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171785";9;8;1;0;4;4;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435188362";6;6;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435188364";8;8;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501219037";80;68;4;8;12;11;11;91,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"04872";56;55;1;0;5;1;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501216243";123;120;0;3;26;14;14;53,85;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501220214";34;33;1;0;8;8;8;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501220297";137;129;0;8;22;8;8;36,36;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501220614";60;56;0;4;7;7;7;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501226590";43;41;0;2;9;9;9;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0551501268";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0551500520";3;3;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0551501231";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0551501269";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0825065";12;12;0;0;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0703304";9;7;0;2;2;1;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0825026";18;18;0;0;6;1;1;16,67;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0825064";7;7;0;0;3;1;0;33,33;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09094823";3;3;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"098321370";90;86;3;1;36;3;0;8,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"096321370";174;170;0;4;63;11;0;17,46;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"097370";97;97;0;0;31;5;0;16,13;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D325429";11;10;1;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D321181B";204;201;0;3;24;1;1;4,17;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D321371";174;164;1;9;24;4;0;16,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D325435";756;725;3;28;140;37;6;26,43;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D325435S2";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09E321371";81;77;0;4;12;1;0;8,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09E325429";201;198;0;3;46;21;14;45,65;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G321370";245;242;0;3;36;1;0;2,78;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429";401;391;1;9;97;19;0;19,59;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429A";362;352;1;9;75;19;8;25,33;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429B";47;39;0;8;8;2;2;25;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429D";52;50;0;2;8;3;0;37,50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429H";27;26;0;1;5;1;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09K321370";80;77;2;1;22;9;6;40,91;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09K325429";238;230;1;7;77;27;13;35,06;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09L321371";239;233;0;6;33;2;0;6,06;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09L321371A";425;417;0;8;72;22;17;30,56;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09L325429";1458;1407;4;47;321;103;68;32,09;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09M321370A";89;84;1;4;7;1;0;14,29;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09M325429";474;466;0;8;77;19;7;24,68;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09P321370";108;100;1;7;17;11;0;64,71;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09P325429";83;79;0;4;6;2;0;33,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09Q325429";329;259;17;53;36;8;0;22,22;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325433D";129;120;0;9;10;3;0;30;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325433E";324;293;1;30;33;4;0;12,12;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325433EKIT1";13;7;0;6;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AW301516H";2164;2098;7;59;418;51;0;12,20;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5321371D";41;37;0;4;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5321371E";690;676;4;10;121;19;0;15,70;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5321371F";278;269;3;6;75;12;0;16;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5325240B";162;154;2;6;28;3;0;10,71;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5325330A";4094;3991;17;86;1279;201;8;15,72;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5325429E";3712;3635;5;72;874;240;0;27,46;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B6325429";216;209;0;7;28;15;12;53,57;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B6398747";9;8;1;0;2;2;2;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325159";1234;1083;28;123;330;1;0;0,30;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183A";113;106;1;6;18;3;1;16,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183B";3082;3021;11;50;1014;166;39;16,37;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183C";19;18;0;1;2;2;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BK398009";808;782;6;20;187;106;93;56,68;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BK398009A";857;840;1;16;238;144;125;60,50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BL398009";153;139;1;13;24;23;23;95,83;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BW398009";15;13;1;1;2;1;1;50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8321181";137;125;1;11;22;2;2;9,09;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8321371";233;230;0;3;38;15;8;39,47;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8325435";1131;1111;3;17;241;94;56;39;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8325443";33;27;1;5;5;2;2;40;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK321371";625;614;1;10;82;20;0;24,39;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK321371A";552;543;1;8;124;11;0;8,87;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK321439A";2231;1979;15;237;321;94;0;29,28;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325121D";3099;2988;4;107;458;97;0;21,18;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325149D";1844;1791;3;50;216;27;0;12,50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325421A";1213;1191;3;19;155;21;0;13,55;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CM301227";26;13;4;9;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CM301519";510;479;1;30;125;83;56;66,40;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009";130;124;0;6;24;14;11;58,33;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009A";1008;946;12;50;130;79;70;60,77;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009B";775;738;5;32;114;52;47;45,61;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009C";1454;1414;2;38;348;305;243;87,64;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398010";961;921;4;36;82;18;0;21,95;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D6398359";354;327;9;18;40;33;23;82,50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D6398359A";164;127;2;35;10;2;2;20;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0DR301519";9;8;0;1;5;2;2;40;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183";4544;4422;16;106;1361;244;6;17,93;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183A";12943;12658;69;216;4046;654;16;16,16;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183AS2";7;6;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183D";5397;5340;27;30;2315;360;10;15,55;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350001";73;71;1;1;10;9;5;90;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350001SK";21;21;0;0;2;2;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350001XK";6;4;0;2;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350002";17;14;0;3;2;2;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350003";139;135;0;4;27;25;4;92,59;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350003SK";19;19;0;0;6;4;0;66,67;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350004SK";14;13;0;1;1;1;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350005";23;23;0;0;1;1;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350005SK";13;13;0;0;2;1;0;50;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350012";33;27;0;6;5;5;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350013";106;100;0;6;20;20;9;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350013SK";22;20;0;2;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350014";101;97;1;3;17;15;0;88,24;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350014XK";11;9;0;2;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350015SK";12;10;0;2;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350016";78;77;0;1;14;12;1;85,71;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350016SK";14;9;0;5;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350100";64;60;0;4;10;10;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350101";48;44;0;4;6;5;0;83,33;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350101SK";7;5;0;2;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102";1899;1872;6;21;464;457;4;98,49;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102144";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102SK";70;68;0;2;14;8;0;57,14;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102XK";103;95;1;7;16;16;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350103";561;549;4;8;147;144;1;97,96;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350103SK";28;26;0;2;7;5;0;71,43;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350103XK";55;52;0;3;11;11;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350106";61;59;0;2;11;11;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350106SK";13;9;0;4;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350106XK";9;5;0;4;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350107";62;60;0;2;6;6;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350107SK";10;10;0;0;2;1;0;50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350108";262;252;1;9;32;28;1;87,50;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350108SK";89;85;0;4;15;14;1;93,33;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350108XK";50;48;0;2;7;7;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350109";309;297;1;11;56;55;0;98,21;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350109XK";39;36;0;3;5;5;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350114";847;833;0;14;186;174;0;93,55;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350114SK";253;239;0;14;66;56;0;84,85;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350114SKMEY";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350114XK";52;48;0;4;4;4;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350115";1053;1010;1;42;138;127;0;92,03;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350115SK";313;300;1;12;43;38;0;88,37;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350115XK";243;229;1;13;13;12;0;92,31;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350116";2276;2197;10;69;564;550;1;97,52;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350116MYL";6;6;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350116SK";231;218;7;6;55;39;0;70,91;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350116XK";73;68;0;5;9;8;0;88,89;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350117";62;54;0;8;6;5;0;83,33;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350118";108;97;2;9;18;16;0;88,89;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350120SK";19;17;0;2;5;4;0;80;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350122";102;90;0;12;19;19;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350122MYL";2;2;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350122SK";31;29;0;2;5;5;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350122XK";23;20;0;3;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350130";201;191;0;10;29;27;0;93,10;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350130SK";74;67;0;7;11;9;1;81,82;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350130XK";22;18;0;4;3;2;0;66,67;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
