GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
4921;"2026/1";"West Europe";68;"ZF";278
4921;"2026/1";"Other";68;"ZF";333
4921;"2026/1";"EEU";68;"ZF";1044
4921;"2026/1";"Nordic";101;"FEBI BILSTEIN";24
4921;"2026/1";"Nordic";144;"MEYLE";91
4921;"2026/1";"Romania";4342;"TCMATIC";4
4921;"2026/1";"SEE";101;"FEBI BILSTEIN";257
4921;"2026/1";"West Europe";101;"FEBI BILSTEIN";174
4921;"2026/1";"Other";144;"MEYLE";244
4921;"2026/1";"Slovenia";162;"VAICO";38
4921;"2026/1";"Other";68;"ZF";44
4921;"2026/1";"Switzerland";162;"VAICO";265
4921;"2026/1";"B";162;"VAICO";11
4921;"2026/1";"Germany";209;"TRUCKTEC AUTOMOTIVE";12
4921;"2026/1";"Nordic";209;"TRUCKTEC AUTOMOTIVE";2
4921;"2026/1";"EEU";162;"VAICO";1
4921;"2026/1";"Nordic";162;"VAICO";1
4921;"2026/1";"Other";4342;"TCMATIC";1
4921;"2026/1";"West Europe";4342;"TCMATIC";19
4921;"2026/1";"Other";6558;"AIC";1
4921;"2026/1";"Serbia";151;"SWAG";31
4921;"2026/1";"West Europe";81;"HENGST FILTER";4
4921;"2026/1";"SEE";162;"VAICO";2
4921;"2026/1";"Austria";209;"TRUCKTEC AUTOMOTIVE";4
4921;"2026/1";"N";144;"MEYLE";702
4921;"2026/1";"Croatia";144;"MEYLE";368
4921;"2026/1";"Germany";4342;"TCMATIC";77
4921;"2026/1";"Austria";162;"VAICO";779
4921;"2026/1";"EEU";4342;"TCMATIC";73
4921;"2026/1";"Croatia";68;"ZF";552
4921;"2026/1";"N";162;"VAICO";306
4921;"2026/1";"B";4342;"TCMATIC";23
4921;"2026/1";"B";101;"FEBI BILSTEIN";82
4921;"2026/1";"EEU";144;"MEYLE";8
